palavras,n_ocorrencias,desvio_padrao
reuniting,3,228.963607006296
toggle,4,228.961969185569
tre,4,228.938674466912
excl,3,228.919927776796
racks,4,228.883340008253
ich,4,228.879881160403
mik,3,228.788840054172
ncaa,31,228.749607203376
devalue,4,228.744945299344
canonize,4,228.701224308048
originality,3,228.630706599092
dharmalee,3,228.613939499177
cremation,5,228.573183028981
rancho,3,228.522063121558
clegg,3,228.508934909192
winnie,7,228.388453548523
malfunctioning,3,228.123504561308
shawshank,3,228.053356329902
rebuff,3,228.046778826918
wwe,43,228.003856507961
bertbech,4,227.931276192335
memorializing,3,227.923232690307
krampus,28,227.845522252648
valens,3,227.791571398066
notched,3,227.765230006689
cheetolini,4,227.760107715699
dossier,14,227.723757851722
pods,5,227.686846348225
furries,5,227.605579896452
gizmodo,21,227.57342091018
cyborg,7,227.508032301949
diners,3,227.478204084113
pipebomber,3,227.476006060713
coating,3,227.476006060713
hydro,3,227.476006060713
mani,4,227.467946459862
remainder,10,227.452192779054
bengals,3,227.390266575624
phantom,6,227.249642463965
exaggerations,3,227.236294049462
overtures,3,227.171741200353
nelson,26,227.170732134361
wtop,7,227.158115689952
gravy,16,227.00505684529
queso,21,227.000566393252
ios,55,226.983962411266
hypercar,3,226.954474142576
dev,8,226.944258417285
exert,11,226.913359516959
deutschland,3,226.907470128244
cemeteries,3,226.77962871475
propulsion,5,226.734867190734
ravioli,5,226.727148793434
postpartum,9,226.717396283959
après,3,226.610532264794
stagnation,3,226.563456894531
toad,19,226.525213860665
deactivated,6,226.524538773764
jenrick,34,226.508460962721
titan,13,226.458463956276
cbr,3,226.378002464904
cheerful,3,226.37652999667
hamster,4,226.32498757318
alternatively,3,226.297002484198
subs,15,226.264447052558
notmycat,3,226.238811878068
uppers,3,226.213026444839
plutocratic,3,226.084792353076
horney,3,226.073734284488
idiotically,3,226.046455402424
mesmerizing,5,226.045791821038
miliband,5,225.992698997114
prompts,13,225.907628047962
crackers,12,225.866546814036
vpn,14,225.795249076446
walkin,3,225.76757960345
leurs,3,225.743955253144
outdoing,3,225.743955253144
lenders,5,225.717079548713
abortionishealthcare,3,225.557827027424
cinnamon,26,225.537256004754
flunky,3,225.52826873809
jonas,4,225.379679651915
smartphones,11,225.337887707247
immortal,8,225.313749501192
nvr,3,225.28204544526
sensors,5,225.252524958101
pitt,7,225.237440852769
meatball,16,225.184285641783
slog,3,225.166604983954
jeepers,3,225.166604983954
thehalfwayc,3,225.166604983954
pieced,3,225.166604983954
pattievotesblue,29,225.158597634356
dubois,3,225.158462717557
tweak,7,225.084957505467
helpline,5,225.073987835112
muddying,3,225.018517756502
wtp,3,225.002962943454
autumn,59,224.975463302673
marty,13,224.974015593596
toolbox,4,224.866441841967
aptitude,5,224.857732800097
rosannaarquette,3,224.835495418317
hamper,4,224.808622313884
prudent,3,224.796204001165
bologna,4,224.768770072713
aida,3,224.715375530915
knight,13,224.629552591452
spd,3,224.595191399994
jungle,14,224.571594594911
borrowers,9,224.522146890779
deforestation,6,224.484297891857
arn,5,224.467815064877
likeminded,7,224.351233984741
betelgeuse,3,224.31451134512
brics,3,224.301136867382
gunther,8,224.295046439155
washer,9,224.285532302019
cody,10,224.267796271432
conspiracist,4,224.26379556228
dvds,3,224.241685092967
kristofferson,4,224.196900067775
lightsaber,3,224.178500307233
driverless,5,224.169578667579
decode,3,224.011904445575
redlining,3,224.011904445575
apeshit,3,224.011904445575
softball,41,223.926771022332
gameday,4,223.865100748941
tsunamis,4,223.840717177788
bec,5,223.835430618122
copilot,10,223.773695207159
asnarkygrandpa,3,223.768481545845
bah,3,223.737197026631
macbook,4,223.64257197591
undisciplined,3,223.598598683742
rikers,4,223.528335265726
bombardment,8,223.508668735689
magnetic,3,223.454693394433
cartooning,3,223.434554176385
annotations,3,223.434554176385
disassembled,3,223.339054653084
hecklers,4,223.292782388206
implants,3,223.240527981219
iamsammi,15,223.217660164969
circulation,4,223.131314103004
managerial,3,223.128513044239
consilium,3,223.115067472668
flagship,17,223.008424399037
vaporized,4,222.950667188955
cybercab,4,222.878890880227
mabsamabbin,3,222.859447485031
glamorizing,3,222.857203907196
kimberley,3,222.857203907196
ticketing,6,222.811504789736
teton,4,222.803912293598
brownie,10,222.735917375014
blueskydirectory,4,222.682135191248
